,ref
3157,"To be sure, there is nothing to justify the assumption that the names of the numbers emerged in numerical order from the primeval ooze of language; but one might mistakenly conclude that the very first ordinal to be talked about in English was eightieth , and this at a time when only a small percentage of the population had a life expectancy of half that."
3158,"One would expect the editors to have signaled the truth of the matter under Using This Dictionary, despite the reluctance of users to refer to such things."
3159,"Most dates are expressed as a spread of years, giving the time within which the earliest document containing the main entry was written or published...."
3160,"In many cases a term may have existed in the spoken language long before it first appeared in texts and, in any event, earlier written evidence may exist that has not yet been discovered or reported."
3161,There are five major dictionaries of approximately the same size competing for buyers in the market.
3162,"It is impossible to get an accurate figure for the total market, which has been estimated at two million sales a year."
3163,"The average novel of 200,000 words for $25 works out at 8,000 words per dollar."
3164,"This is all the more astonishing when one considers that the publishers maintain full-time staffs of skilled lexicographers and editors to keep their dictionaries up to date by continuously monitoring both the language and other kinds of data, like population figures for geopolitical entries, death dates for biographical entries, etc."
3165,"Consider, too, that the quality of the paper, printing, and binding of such dictionaries is far superior to that of most other books available, creating a cost per copy of about $5."
3166,"Were all these factors taken into consideration in normal pricing procedures in the industry, a college dictionary ought to retail for about $50 a copy."
3167,"Random House dictionaries, from the ACD onward, have always been known for their ease of use and the clarity and understandability of the information presented."
3168,The book at hand supports that reputation.
3169,"Notwithstanding, people who use dictionaries regularly become accustomed to one, which becomes their favorite for any number of reasons: for purposes of utility and for philosophical reasons, I prefer geographical and biographical entries to be interfiled with other entries in one alphabetical listing; others prefer to have them separate."
3170,"To be sure, if one is going to spend $18 or so, the dictionary selected ought to be the most up to date and have the largest number of entries, a bit of reasoning not lost on the crowd at Random House."
